no4-1
2017/12/09

時刻,活動強度,運動種別
00:00:00,1,生活活動
00:01:00,1.1,生活活動
00:02:00,1,生活活動
00:03:00,1.1,生活活動
00:04:00,1.1,生活活動
00:05:00,1.1,生活活動
00:06:00,1.1,生活活動
00:07:00,1,生活活動
00:08:00,1.2,生活活動
00:09:00,1,生活活動
00:10:00,0,計測なし
00:11:00,0,計測なし
00:12:00,0,計測なし
00:13:00,0,計測なし
00:14:00,0,計測なし
00:15:00,0,計測なし
00:16:00,0,計測なし
00:17:00,0,計測なし
00:18:00,1.2,生活活動
00:19:00,0,計測なし
00:20:00,1,生活活動
00:21:00,0,計測なし
00:22:00,0,計測なし
00:23:00,0,計測なし
00:24:00,0,計測なし
00:25:00,0,計測なし
00:26:00,0,計測なし
00:27:00,1,生活活動
00:28:00,1,生活活動
00:29:00,1,生活活動
00:30:00,1,生活活動
00:31:00,1,生活活動
00:32:00,1,生活活動
00:33:00,1,生活活動
00:34:00,1,生活活動
00:35:00,1,生活活動
00:36:00,1,生活活動
00:37:00,1,生活活動
00:38:00,1,生活活動
00:39:00,1.1,生活活動
00:40:00,1,生活活動
00:41:00,1,生活活動
00:42:00,1.4,生活活動
00:43:00,1.1,生活活動
00:44:00,1.1,生活活動
00:45:00,0,計測なし
00:46:00,0,計測なし
00:47:00,0,計測なし
00:48:00,0,計測なし
00:49:00,1,生活活動
00:50:00,1,生活活動
00:51:00,0,計測なし
00:52:00,0,計測なし
00:53:00,0,計測なし
00:54:00,1,生活活動
00:55:00,0,計測なし
00:56:00,0,計測なし
00:57:00,0,計測なし
00:58:00,1,生活活動
00:59:00,0,計測なし
01:00:00,0,計測なし
01:01:00,0,計測なし
01:02:00,0,計測なし
01:03:00,0,計測なし
01:04:00,0,計測なし
01:05:00,0,計測なし
01:06:00,0,計測なし
01:07:00,0,計測なし
01:08:00,0,計測なし
01:09:00,0,計測なし
01:10:00,0,計測なし
01:11:00,0,計測なし
01:12:00,0,計測なし
01:13:00,1,生活活動
01:14:00,1,生活活動
01:15:00,1,生活活動
01:16:00,1,生活活動
01:17:00,1,生活活動
01:18:00,0,計測なし
01:19:00,0,計測なし
01:20:00,0,計測なし
01:21:00,1,生活活動
01:22:00,1,生活活動
01:23:00,1,生活活動
01:24:00,1,生活活動
01:25:00,1,生活活動
01:26:00,1,生活活動
01:27:00,1,生活活動
01:28:00,1,生活活動
01:29:00,0,計測なし
01:30:00,1,生活活動
01:31:00,1,生活活動
01:32:00,1,生活活動
01:33:00,1,生活活動
01:34:00,1,生活活動
01:35:00,0,計測なし
01:36:00,0,計測なし
01:37:00,0,計測なし
01:38:00,0,計測なし
01:39:00,0,計測なし
01:40:00,0,計測なし
01:41:00,0,計測なし
01:42:00,0,計測なし
01:43:00,0,計測なし
01:44:00,0,計測なし
01:45:00,0,計測なし
01:46:00,0,計測なし
01:47:00,0,計測なし
01:48:00,0,計測なし
01:49:00,0,計測なし
01:50:00,0,計測なし
01:51:00,0,計測なし
01:52:00,0,計測なし
01:53:00,0,計測なし
01:54:00,0,計測なし
01:55:00,0,計測なし
01:56:00,0,計測なし
01:57:00,0,計測なし
01:58:00,0,計測なし
01:59:00,0,計測なし
02:00:00,0,計測なし
02:01:00,0,計測なし
02:02:00,0,計測なし
02:03:00,0,計測なし
02:04:00,0,計測なし
02:05:00,0,計測なし
02:06:00,1,生活活動
02:07:00,0,計測なし
02:08:00,2.8,生活活動
02:09:00,3.4,生活活動
02:10:00,0,計測なし
02:11:00,0,計測なし
02:12:00,0,計測なし
02:13:00,0,計測なし
02:14:00,0,計測なし
02:15:00,0,計測なし
02:16:00,0,計測なし
02:17:00,0,計測なし
02:18:00,0,計測なし
02:19:00,0,計測なし
02:20:00,0,計測なし
02:21:00,0,計測なし
02:22:00,0,計測なし
02:23:00,0,計測なし
02:24:00,0,計測なし
02:25:00,0,計測なし
02:26:00,0,計測なし
02:27:00,0,計測なし
02:28:00,0,計測なし
02:29:00,0,計測なし
02:30:00,0,計測なし
02:31:00,0,計測なし
02:32:00,0,計測なし
02:33:00,0,計測なし
02:34:00,0,計測なし
02:35:00,0,計測なし
02:36:00,0,計測なし
02:37:00,0,計測なし
02:38:00,0,計測なし
02:39:00,0,計測なし
02:40:00,0,計測なし
02:41:00,0,計測なし
02:42:00,0,計測なし
02:43:00,0,計測なし
02:44:00,0,計測なし
02:45:00,0,計測なし
02:46:00,0,計測なし
02:47:00,0,計測なし
02:48:00,0,計測なし
02:49:00,0,計測なし
02:50:00,0,計測なし
02:51:00,0,計測なし
02:52:00,0,計測なし
02:53:00,0,計測なし
02:54:00,0,計測なし
02:55:00,0,計測なし
02:56:00,0,計測なし
02:57:00,0,計測なし
02:58:00,0,計測なし
02:59:00,0,計測なし
03:00:00,0,計測なし
03:01:00,0,計測なし
03:02:00,0,計測なし
03:03:00,0,計測なし
03:04:00,0,計測なし
03:05:00,0,計測なし
03:06:00,0,計測なし
03:07:00,0,計測なし
03:08:00,0,計測なし
03:09:00,0,計測なし
03:10:00,0,計測なし
03:11:00,0,計測なし
03:12:00,0,計測なし
03:13:00,0,計測なし
03:14:00,0,計測なし
03:15:00,0,計測なし
03:16:00,0,計測なし
03:17:00,0,計測なし
03:18:00,0,計測なし
03:19:00,0,計測なし
03:20:00,0,計測なし
03:21:00,0,計測なし
03:22:00,0,計測なし
03:23:00,0,計測なし
03:24:00,0,計測なし
03:25:00,0,計測なし
03:26:00,0,計測なし
03:27:00,0,計測なし
03:28:00,0,計測なし
03:29:00,0,計測なし
03:30:00,0,計測なし
03:31:00,0,計測なし
03:32:00,0,計測なし
03:33:00,0,計測なし
03:34:00,0,計測なし
03:35:00,0,計測なし
03:36:00,0,計測なし
03:37:00,0,計測なし
03:38:00,0,計測なし
03:39:00,0,計測なし
03:40:00,0,計測なし
03:41:00,0,計測なし
03:42:00,0,計測なし
03:43:00,0,計測なし
03:44:00,0,計測なし
03:45:00,0,計測なし
03:46:00,0,計測なし
03:47:00,0,計測なし
03:48:00,0,計測なし
03:49:00,0,計測なし
03:50:00,0,計測なし
03:51:00,0,計測なし
03:52:00,0,計測なし
03:53:00,0,計測なし
03:54:00,0,計測なし
03:55:00,0,計測なし
03:56:00,0,計測なし
03:57:00,0,計測なし
03:58:00,0,計測なし
03:59:00,0,計測なし
04:00:00,0,計測なし
04:01:00,0,計測なし
04:02:00,0,計測なし
04:03:00,0,計測なし
04:04:00,0,計測なし
04:05:00,0,計測なし
04:06:00,0,計測なし
04:07:00,0,計測なし
04:08:00,0,計測なし
04:09:00,0,計測なし
04:10:00,0,計測なし
04:11:00,0,計測なし
04:12:00,0,計測なし
04:13:00,0,計測なし
04:14:00,0,計測なし
04:15:00,0,計測なし
04:16:00,0,計測なし
04:17:00,0,計測なし
04:18:00,0,計測なし
04:19:00,0,計測なし
04:20:00,0,計測なし
04:21:00,0,計測なし
04:22:00,0,計測なし
04:23:00,0,計測なし
04:24:00,0,計測なし
04:25:00,0,計測なし
04:26:00,0,計測なし
04:27:00,0,計測なし
04:28:00,0,計測なし
04:29:00,0,計測なし
04:30:00,0,計測なし
04:31:00,0,計測なし
04:32:00,0,計測なし
04:33:00,0,計測なし
04:34:00,0,計測なし
04:35:00,0,計測なし
04:36:00,0,計測なし
04:37:00,0,計測なし
04:38:00,0,計測なし
04:39:00,0,計測なし
04:40:00,0,計測なし
04:41:00,0,計測なし
04:42:00,0,計測なし
04:43:00,0,計測なし
04:44:00,0,計測なし
04:45:00,0,計測なし
04:46:00,0,計測なし
04:47:00,0,計測なし
04:48:00,0,計測なし
04:49:00,0,計測なし
04:50:00,0,計測なし
04:51:00,0,計測なし
04:52:00,0,計測なし
04:53:00,0,計測なし
04:54:00,0,計測なし
04:55:00,0,計測なし
04:56:00,0,計測なし
04:57:00,0,計測なし
04:58:00,0,計測なし
04:59:00,0,計測なし
05:00:00,0,計測なし
05:01:00,0,計測なし
05:02:00,0,計測なし
05:03:00,0,計測なし
05:04:00,0,計測なし
05:05:00,0,計測なし
05:06:00,0,計測なし
05:07:00,0,計測なし
05:08:00,0,計測なし
05:09:00,0,計測なし
05:10:00,0,計測なし
05:11:00,0,計測なし
05:12:00,0,計測なし
05:13:00,0,計測なし
05:14:00,0,計測なし
05:15:00,0,計測なし
05:16:00,0,計測なし
05:17:00,0,計測なし
05:18:00,0,計測なし
05:19:00,0,計測なし
05:20:00,0,計測なし
05:21:00,0,計測なし
05:22:00,0,計測なし
05:23:00,0,計測なし
05:24:00,0,計測なし
05:25:00,0,計測なし
05:26:00,0,計測なし
05:27:00,0,計測なし
05:28:00,0,計測なし
05:29:00,0,計測なし
05:30:00,0,計測なし
05:31:00,0,計測なし
05:32:00,0,計測なし
05:33:00,0,計測なし
05:34:00,0,計測なし
05:35:00,0,計測なし
05:36:00,0,計測なし
05:37:00,0,計測なし
05:38:00,0,計測なし
05:39:00,0,計測なし
05:40:00,0,計測なし
05:41:00,0,計測なし
05:42:00,0,計測なし
05:43:00,0,計測なし
05:44:00,0,計測なし
05:45:00,0,計測なし
05:46:00,0,計測なし
05:47:00,0,計測なし
05:48:00,0,計測なし
05:49:00,0,計測なし
05:50:00,0,計測なし
05:51:00,0,計測なし
05:52:00,0,計測なし
05:53:00,0,計測なし
05:54:00,0,計測なし
05:55:00,0,計測なし
05:56:00,0,計測なし
05:57:00,0,計測なし
05:58:00,0,計測なし
05:59:00,0,計測なし
06:00:00,0,計測なし
06:01:00,0,計測なし
